LCOH (€/Nm3_H2),p_ng (€/GJ),c_CTS (€/tCO2),c_CAP (M€ / (10^5Nm3/h) ),emi_cap (kg/Nm3_H2),eff,CR,c_fixedOnM_excFuel (M€ / (10^5Nm3/h) ),c_varOnM_excFuel (M€ / (10^5Nm3/h) )
0.057380457380457,2,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.114760914760914,6,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.171309771309771,10,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.227858627858627,14,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.285239085239085,18,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.114285714285714,6,10,222.89,0,0.7592,0,7.55,0.510000000000005
0.075675675675676,2,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.135550935550935,6,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.193762993762993,10,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.252806652806652,14,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.311850311850311,18,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.135164835164835,6,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.134841836734693,6,10,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.141862244897959,6,25,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.148882653061224,6,40,263.91,0.466,0.7351,0.557,8.76,0.519999999999996
0.102286902286902,2,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.164656964656964,6,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.227027027027027,10,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.29022869022869,14,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.353430353430353,18,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.164615384615384,6,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.164678571428571,6,10,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.176744897959183,6,25,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
0.188591836734693,6,40,398.48,0.8004,0.691,0.9,11.54,0.490000000000009
