LCOH (US$/kgH2),p_el (US$/MWh),c_L (US$/kW),OCF
5.10910361511036,70,900,97
5.1918185289032,70,900,90
5.33509257600865,70,900,80
5.51930206514422,70,900,70
5.76491471732498,70,900,60
6.10877243037805,70,900,50
6.62455899995766,70,900,40
7.48420328259033,70,900,30
9.20349184785568,70,900,20
14.3613575436517,70,900,10
4.77533115518064,70,600,97
4.83208604886238,70,600,90
4.93039353596272,70,600,80
5.05678887652031,70,600,70
5.22531599726375,70,600,60
5.46125396630457,70,600,50
5.81516091986581,70,600,40
6.40500584246787,70,600,30
7.58469568767199,70,600,20
11.1237652232843,70,600,10
4.55431372158589,70,400,97
4.59387820908783,70,400,90
4.66240971621635,70,400,80
4.75052165395302,70,400,70
4.86800423760192,70,400,60
5.03247985471038,70,400,50
5.27919328037307,70,400,40
5.69038232314421,70,400,30
6.51276040868649,70,400,20
8.97989466531336,70,400,10
4.44363269072409,70,300,97
4.47458876986885,70,300,90
4.528209097095,70,300,80
4.59714951781434,70,300,70
4.68907007877346,70,300,60
4.81775886411622,70,300,50
5.01079204213037,70,300,40
5.33251400548728,70,300,30
5.97595793220111,70,300,20
7.90628971234259,70,300,10
3.95587526646808,50,900,97
4.03859018026092,50,900,90
4.18186422736636,50,900,80
4.36607371650194,50,900,70
4.6116863686827,50,900,60
4.95554408173577,50,900,50
5.47133065131537,50,900,40
6.33097493394805,50,900,30
8.0502634992134,50,900,20
13.2081291950094,50,900,10
3.62210280653835,50,600,97
3.67885764011443,50,600,90
3.77716511970157,50,600,80
3.90356045059931,50,600,70
4.07208755846297,50,600,60
4.3080255094721,50,600,50
4.66193243598578,50,600,40
5.25177731350859,50,600,30
6.43146706855421,50,600,20
9.97053633369107,50,600,10
3.40108537294361,50,400,97
3.44064996168454,50,400,90
3.50918148146794,50,400,80
3.59729343547517,50,400,70
3.71477604081814,50,400,60
3.87925168829829,50,400,50
4.12596515951853,50,400,40
4.53715427821892,50,400,30
5.3595325156197,50,400,20
7.82666722782205,50,400,10
3.29040434208181,50,300,97
3.32136040620016,50,300,90
3.37498073154801,50,300,80
3.44392114985239,50,300,70
3.53584170759157,50,300,60
3.66453048842641,50,300,50
3.85756365967867,50,300,40
4.17928561176578,50,300,30
4.82272951593999,50,300,20
6.75306122846263,50,300,10
2.8026469178258,30,900,97
2.88536183161864,30,900,90
3.02863587872408,30,900,80
3.21284536785966,30,900,70
3.45845802004042,30,900,60
3.80231573309349,30,900,50
4.31810230267309,30,900,40
5.17774658530577,30,900,30
6.89703515057111,30,900,20
12.0549008463672,30,900,10
2.46887445789607,30,600,97
2.52562929147215,30,600,90
2.62393677105929,30,600,80
2.75033210195703,30,600,70
2.91885920982069,30,600,60
3.15479716082981,30,600,50
3.5087040873435,30,600,40
4.09854896486631,30,600,30
5.27823871991193,30,600,20
8.8173079850488,30,600,10
2.24785702430133,30,400,97
2.28742161304226,30,400,90
2.35595313282566,30,400,80
2.44406508683289,30,400,70
2.56154769217585,30,400,60
2.72602333965601,30,400,50
2.97273681087625,30,400,40
3.38392592957664,30,400,30
4.20630416697742,30,400,20
6.67343887917977,30,400,10
2.13717599343953,30,300,97
2.16813205755788,30,300,90
2.22175238290573,30,300,80
2.29069280121011,30,300,70
2.38261335894928,30,300,60
2.51130213978413,30,300,50
2.70433531103639,30,300,40
3.0260572631235,30,300,30
3.66950116729771,30,300,20
5.59983287982035,30,300,10
2.22603274350466,20,900,97
2.30874765729749,20,900,90
2.45202170440294,20,900,80
2.63623119353851,20,900,70
2.88184384571928,20,900,60
3.22570155877235,20,900,50
3.74148812835195,20,900,40
4.60113241098463,20,900,30
6.32042097624998,20,900,20
11.478286672046,20,900,10
1.89226028357493,20,600,97
1.94901511715101,20,600,90
2.04732259673814,20,600,80
2.17371792763589,20,600,70
2.34224503549955,20,600,60
2.57818298650867,20,600,50
2.93208991302236,20,600,40
3.52193479054517,20,600,30
4.70162454559079,20,600,20
8.24069381072765,20,600,10
1.67124284998019,20,400,97
1.71080743872112,20,400,90
1.77933895850452,20,400,80
1.86745091251174,20,400,70
1.98493351785471,20,400,60
2.14940916533487,20,400,50
2.3961226365551,20,400,40
2.8073117552555,20,400,30
3.62968999265628,20,400,20
6.09682470485863,20,400,10
1.56056181911839,20,300,97
1.59151788323674,20,300,90
1.64513820858459,20,300,80
1.71407862688897,20,300,70
1.80599918462814,20,300,60
1.93468796546298,20,300,50
2.12772113671525,20,300,40
2.44944308880236,20,300,30
3.09288699297657,20,300,20
5.02321870549921,20,300,10
1.64941856918352,10,900,97
1.73213348297636,10,900,90
1.8754075300818,10,900,80
2.05961701921737,10,900,70
2.30522967139814,10,900,60
2.64908738445121,10,900,50
3.16487395403081,10,900,40
4.02451823666349,10,900,30
5.74380680192884,10,900,20
10.9016724977249,10,900,10
1.31564610925379,10,600,97
1.37240094282987,10,600,90
1.470708422417,10,600,80
1.59710375331475,10,600,70
1.76563086117841,10,600,60
2.00156881218753,10,600,50
2.35547573870122,10,600,40
2.94532061622403,10,600,30
4.12501037126965,10,600,20
7.66407963640651,10,600,10
1.09462867565905,10,400,97
1.13419326439998,10,400,90
1.20272478418338,10,400,80
1.2908367381906,10,400,70
1.40831934353357,10,400,60
1.57279499101373,10,400,50
1.81950846223396,10,400,40
2.23069758093436,10,400,30
3.05307581833514,10,400,20
5.52021053053749,10,400,10
0.983947644797251,10,300,97
1.0149037089156,10,300,90
1.06852403426345,10,300,80
1.13746445256783,10,300,70
1.229385010307,10,300,60
1.35807379114185,10,300,50
1.55110696239411,10,300,40
1.87282891448122,10,300,30
2.51627281865543,10,300,20
4.44660453117807,10,300,10
1.13046581229449,1,900,97
1.21318072608733,1,900,90
1.35645477319277,1,900,80
1.54066426232835,1,900,70
1.78627691450911,1,900,60
2.13013462756218,1,900,50
2.64592119714179,1,900,40
3.50556547977446,1,900,30
5.22485404503981,1,900,20
10.3827197408359,1,900,10
0.796693352364765,1,600,97
0.853448185940843,1,600,90
0.951755665527978,1,600,80
1.07815099642572,1,600,70
1.24667810428938,1,600,60
1.48261605529851,1,600,50
1.83652298181219,1,600,40
2.426367859335,1,600,30
3.60605761438062,1,600,20
7.14512687951749,1,600,10
0.57567591877002,1,400,97
0.615240507510951,1,400,90
0.68377202729435,1,400,80
0.771883981301577,1,400,70
0.889366586644546,1,400,60
1.0538422341247,1,400,50
1.30055570534494,1,400,40
1.71174482404533,1,400,30
2.53412306144611,1,400,20
5.00125777364846,1,400,10
0.464994887908224,1,300,97
0.495950952026571,1,300,90
0.549571277374422,1,300,80
0.618511695678802,1,300,70
0.710432253417976,1,300,60
0.839121034252818,1,300,50
1.03215420550508,1,300,40
1.35387615759219,1,300,30
1.9973200617664,1,300,20
3.92765177428904,1,300,10
